playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
johnsmi04,2017,1,ATL,NL,18,10,2,2,0,0,0,0,1,0,0,4,0,0,1,0,0
johnspi01,2017,1,CHN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jonesad01,2017,1,BAL,AL,147,597,82,170,28,1,26,73,2,1,27,113,1,7,1,3,18
jonesja07,2017,1,DET,AL,56,141,14,24,3,1,3,13,6,2,9,65,0,4,0,0,5
jonesna01,2017,1,CHA,AL,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jonesry01,2017,1,SFN,NL,53,150,12,26,5,2,2,5,1,0,10,52,3,4,0,0,3
jorgefe01,2017,1,MIN,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
josepca01,2017,1,BAL,AL,89,254,31,65,14,1,8,28,0,0,10,72,0,1,1,0,7
josepto01,2017,1,PHI,NL,142,495,51,119,27,1,22,69,1,0,33,129,1,2,0,3,21
joycema01,2017,1,OAK,AL,141,469,78,114,33,0,25,68,4,1,66,113,0,2,0,7,10
judgeaa01,2017,1,NYA,AL,155,542,128,154,24,3,52,114,9,4,127,208,11,5,0,4,15
jungmta01,2017,1,MIL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
junisja01,2017,1,KCA,AL,20,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
kahnlto01,2017,1,CHA,AL,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kahnlto01,2017,2,NYA,AL,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
karnsna01,2017,1,KCA,AL,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kelake01,2017,1,TEX,AL,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kellesh01,2017,1,WAS,NL,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kellyca02,2017,1,SLN,NL,34,69,5,12,3,0,0,6,0,0,5,11,0,1,0,0,3
kellyjo05,2017,1,BOS,AL,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kellyty01,2017,1,NYN,NL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
kellyty01,2017,2,PHI,NL,69,88,11,17,7,0,2,14,0,0,8,24,0,1,4,3,0
kempma01,2017,1,ATL,NL,115,438,47,121,23,1,19,64,0,2,27,99,5,0,0,1,25
kempto01,2017,1,HOU,AL,17,37,6,8,1,0,0,4,1,0,1,5,0,1,0,0,0
kendrho01,2017,1,PHI,NL,39,141,16,48,8,1,2,16,8,3,11,30,0,3,0,1,4
kendrho01,2017,2,WAS,NL,52,164,24,48,8,2,7,25,4,2,11,38,0,2,0,1,4
kendrky01,2017,1,BOS,AL,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
kenneia01,2017,1,KCA,AL,30,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
keplema01,2017,1,MIN,AL,147,511,67,124,32,2,19,69,6,1,47,114,2,6,1,3,5
kershcl01,2017,1,LAN,NL,27,49,6,9,1,0,0,2,0,0,4,13,0,0,6,0,2
keuchda01,2017,1,HOU,AL,23,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
kiermke01,2017,1,TBA,AL,98,380,56,105,15,3,15,39,16,7,31,99,2,5,4,1,3
kimbrcr01,2017,1,BOS,AL,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kimhy01,2017,1,BAL,AL,56,125,11,29,4,0,1,10,0,0,12,27,0,2,0,2,2
kimhy01,2017,2,PHI,NL,40,87,9,20,4,1,0,4,0,0,10,19,1,0,0,0,1
kinslia01,2017,1,DET,AL,139,551,90,130,25,3,22,52,14,5,55,86,2,7,0,0,9
kintzbr01,2017,1,MIN,AL,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kintzbr01,2017,2,WAS,NL,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kipnija01,2017,1,CLE,AL,90,336,43,78,25,0,12,35,6,2,28,71,0,2,2,5,0
kittran01,2017,1,TBA,AL,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kivlepa01,2017,1,CIN,NL,115,178,23,37,5,1,9,26,1,2,22,61,1,3,0,1,2
klubeco01,2017,1,CLE,AL,29,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
knappan01,2017,1,PHI,NL,56,171,26,44,8,1,3,13,1,0,31,56,4,0,0,2,5
knebeco01,2017,1,MIL,NL,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kochma01,2017,1,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
koehlto01,2017,1,MIA,NL,12,21,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0
koehlto01,2017,2,TOR,AL,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kolarad01,2017,1,TBA,AL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kontoge01,2017,1,SFN,NL,50,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
kontoge01,2017,2,PIT,NL,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kozmape01,2017,1,NYA,AL,11,9,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0
kozmape01,2017,2,TEX,AL,28,36,4,4,0,0,1,2,0,1,2,18,0,2,1,0,0
kratzer01,2017,1,NYA,AL,4,2,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0
krolia01,2017,1,ATL,NL,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kuhlch01,2017,1,PIT,NL,33,48,2,5,2,0,0,3,0,0,1,16,0,0,3,0,1
labouja01,2017,1,DET,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lackejo01,2017,1,CHN,NL,32,53,2,7,1,0,0,1,1,1,3,23,0,0,5,0,0
lagarju01,2017,1,NYN,NL,94,252,37,63,16,2,3,15,7,3,14,56,0,3,2,1,6
lamarry01,2017,1,OAK,AL,3,7,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
lambja01,2017,1,ARI,NL,149,536,89,133,30,4,30,105,6,4,87,152,13,7,0,5,15
lametdi01,2017,1,SDN,NL,21,35,0,3,0,0,0,0,0,0,0,22,0,0,3,0,0
lasteto01,2017,1,CHN,NL,73,125,18,36,8,0,5,22,0,0,20,18,1,2,0,2,3
latosma01,2017,1,TOR,AL,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lavarry01,2017,1,OAK,AL,6,11,0,3,1,0,0,2,0,0,1,3,0,1,0,0,1
lawde01,2017,1,SFN,NL,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lawreca01,2017,1,TOR,AL,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
lawreca01,2017,2,SEA,AL,23,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
layneto01,2017,1,NYA,AL,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leakemi01,2017,1,SLN,NL,27,47,2,8,1,0,0,4,0,0,3,15,0,0,5,0,2
leakemi01,2017,2,SEA,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leathja01,2017,1,CHN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leathja01,2017,2,PIT,NL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leblawa01,2017,1,PIT,NL,50,5,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0
leclejo01,2017,1,TEX,AL,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leeza01,2017,1,SDN,NL,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leitema02,2017,1,PHI,NL,27,25,0,2,0,0,0,0,0,0,0,12,0,0,1,0,1
lemahdj01,2017,1,COL,NL,155,609,95,189,28,4,8,64,6,5,59,90,1,6,3,5,24
leonar02,2017,1,DET,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leonedo01,2017,1,TOR,AL,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leonsa01,2017,1,BOS,AL,85,271,32,61,14,0,7,39,0,0,25,74,1,1,1,3,5
lestejo01,2017,1,CHN,NL,32,54,5,8,3,0,1,6,1,0,4,26,0,0,6,1,0
lewicar01,2017,1,DET,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
liberad01,2017,1,LAN,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lindad01,2017,1,WAS,NL,116,267,39,81,14,0,14,59,1,0,28,47,5,0,0,6,6
lindbjo01,2017,1,PIT,NL,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
lindofr01,2017,1,CLE,AL,159,651,99,178,44,4,33,89,15,3,60,93,6,4,5,3,11
lintz01,2017,1,BOS,AL,25,56,7,15,0,2,0,2,1,1,9,17,0,0,1,0,0
liriafr01,2017,1,TOR,AL,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
liriafr01,2017,2,HOU,AL,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
liriary01,2017,1,CHA,AL,21,41,4,9,2,0,1,6,1,0,5,14,0,0,0,0,0
livelbe01,2017,1,PHI,NL,15,26,2,6,0,0,2,8,0,0,0,9,0,0,0,0,0
lloydky01,2017,1,SDN,NL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lobatjo01,2017,1,WAS,NL,51,141,11,24,3,0,4,11,0,0,14,35,1,1,1,1,5
locasti01,2017,1,LAN,NL,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
lockeje01,2017,1,MIA,NL,7,10,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0
loganbo02,2017,1,CLE,AL,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lombast02,2017,1,MIA,NL,2,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
longoev01,2017,1,TBA,AL,156,613,71,160,36,2,20,86,6,1,46,109,3,6,0,12,18
lopezjo02,2017,1,MIL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lopezra02,2017,1,TOR,AL,24,54,9,12,1,0,4,12,0,0,7,21,0,0,0,1,1
lopezre01,2017,1,CHA,AL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lorenmi01,2017,1,CIN,NL,73,12,1,2,0,0,1,1,0,0,0,5,0,0,0,0,0
loupaa01,2017,1,TOR,AL,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lowrije01,2017,1,OAK,AL,153,567,86,157,49,3,14,69,0,1,73,100,2,2,0,3,10
lucasjo02,2017,1,SLN,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lucrojo01,2017,1,TEX,AL,77,281,27,68,15,0,4,27,1,0,19,32,0,4,0,2,10
lucrojo01,2017,2,COL,NL,46,142,18,44,6,3,2,13,0,0,27,19,6,4,0,2,6
lugose01,2017,1,NYN,NL,20,29,4,4,2,0,1,2,0,0,0,10,0,0,5,0,1
luplojo01,2017,1,PIT,NL,27,78,6,16,3,1,3,11,0,1,6,22,0,2,0,1,4
lylesjo01,2017,1,COL,NL,33,5,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
lylesjo01,2017,2,SDN,NL,5,8,1,2,0,0,0,3,0,0,1,3,0,0,0,0,0
lynnla01,2017,1,SLN,NL,33,54,2,4,2,0,0,0,0,0,1,25,0,1,5,0,1
lyonsty01,2017,1,SLN,NL,50,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
machaan02,2017,1,KCA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
machadi01,2017,1,DET,AL,73,166,17,43,5,1,1,11,1,0,10,32,0,1,2,2,6
machama01,2017,1,BAL,AL,156,630,81,163,33,1,33,95,9,4,50,115,3,1,0,9,17
machije01,2017,1,SEA,AL,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
maddoau01,2017,1,BOS,AL,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
madsory01,2017,1,OAK,AL,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
madsory01,2017,2,WAS,NL,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maedake01,2017,1,LAN,NL,30,39,2,5,1,0,0,4,0,0,0,3,0,0,5,0,1
magnida01,2017,1,LAA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mahlety01,2017,1,CIN,NL,4,7,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0
mahtomi01,2017,1,DET,AL,109,348,50,96,15,6,12,38,6,0,23,79,0,6,0,2,4
mailelu01,2017,1,TOR,AL,46,130,10,19,5,0,2,7,1,0,3,35,0,2,0,1,2
maldoma01,2017,1,LAA,AL,138,429,43,95,19,1,14,38,0,2,15,119,1,18,8,1,12
manaese01,2017,1,OAK,AL,29,3,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0
mancitr01,2017,1,BAL,AL,147,543,65,159,26,4,24,78,1,0,33,139,1,6,0,4,12
manesse01,2017,1,KCA,AL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mapledi01,2017,1,CHN,NL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
margoma01,2017,1,SDN,NL,126,487,53,128,18,7,13,39,17,7,35,106,0,2,1,4,6
marinjh01,2017,1,MIL,NL,15,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
marinjh01,2017,2,PIT,NL,24,4,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0
marinjh01,2017,3,TEX,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marisja01,2017,1,HOU,AL,106,230,50,56,10,0,16,35,9,4,20,90,1,6,2,1,5
marjami01,2017,1,SEA,AL,5,9,1,3,1,0,1,1,0,0,0,1,0,0,0,0,0
markani01,2017,1,ATL,NL,160,593,76,163,39,1,8,76,0,2,68,110,8,6,0,3,16
marksju01,2017,1,TBA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marquge01,2017,1,COL,NL,29,45,4,8,2,0,0,5,0,0,0,18,0,0,8,0,1
marrech01,2017,1,SFN,NL,15,38,2,5,0,0,1,5,0,0,2,9,0,0,0,1,4
marrede01,2017,1,BOS,AL,71,171,32,36,9,0,4,27,5,0,12,61,0,0,3,2,8
marshev01,2017,1,SEA,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martefr01,2017,1,HOU,AL,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marteje01,2017,1,LAA,AL,45,127,10,22,5,0,4,14,1,0,13,34,0,4,0,1,2
marteke01,2017,1,ARI,NL,73,223,30,58,11,2,5,18,3,1,29,37,3,1,0,2,3
martest01,2017,1,PIT,NL,77,309,48,85,7,2,7,31,21,4,20,63,0,8,0,2,5
martica04,2017,1,SLN,NL,34,62,5,11,3,0,0,11,0,0,1,19,0,1,5,0,1
martico01,2017,1,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martijd02,2017,1,DET,AL,57,200,38,61,13,2,16,39,2,0,29,54,5,0,0,3,10
martijd02,2017,2,ARI,NL,62,232,47,70,13,1,29,65,2,0,24,74,3,0,0,1,13
martijo08,2017,1,SLN,NL,106,272,47,84,13,1,14,46,4,0,32,60,2,0,1,2,9
martiky01,2017,1,BOS,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martile01,2017,1,SEA,AL,34,115,12,20,2,1,3,8,6,4,5,29,1,2,0,0,2
martile01,2017,2,CHN,NL,15,13,2,2,1,0,0,1,1,0,3,4,0,0,0,0,0
martimi02,2017,1,CLE,AL,15,11,1,4,1,0,0,0,0,1,2,5,0,0,1,0,0
martimi02,2017,2,TBA,AL,13,26,1,2,0,0,0,0,0,0,3,10,0,0,0,0,0
martini01,2017,1,TEX,AL,23,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
martiru01,2017,1,TOR,AL,91,307,49,68,12,0,13,35,1,2,50,83,0,7,1,0,13
martivi01,2017,1,DET,AL,107,392,38,100,16,0,10,47,0,0,36,63,3,5,0,2,15
mathije01,2017,1,ARI,NL,60,186,13,40,10,2,2,11,1,0,14,61,1,2,1,0,6
matonph01,2017,1,SDN,NL,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matzst01,2017,1,NYN,NL,17,21,1,3,0,0,0,1,0,0,0,7,0,0,3,0,0
mauerjo01,2017,1,MIN,AL,141,525,69,160,36,1,7,71,2,1,66,83,3,3,0,3,17
maurebr01,2017,1,SDN,NL,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maurebr01,2017,2,KCA,AL,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maxwebr01,2017,1,OAK,AL,76,219,21,52,12,0,3,22,0,0,31,63,0,0,1,2,10
maybica01,2017,1,LAA,AL,93,336,57,79,19,1,6,22,29,5,48,78,1,2,0,1,11
maybica01,2017,2,HOU,AL,21,59,6,11,1,1,4,13,4,3,3,16,0,0,1,0,1
mayermi01,2017,1,SLN,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mayja02,2017,1,CHA,AL,15,36,2,2,0,0,0,3,0,0,3,17,0,1,2,0,1
mayzati01,2017,1,TOR,AL,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mazarno01,2017,1,TEX,AL,148,554,64,140,30,2,20,101,2,2,55,127,6,4,0,3,12
mazzoco01,2017,1,SDN,NL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcallza01,2017,1,CLE,AL,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mccanbr01,2017,1,HOU,AL,97,349,47,84,12,1,18,62,1,0,38,58,3,7,0,5,9
mccanja02,2017,1,DET,AL,106,352,39,89,14,2,13,49,1,0,26,89,0,9,1,3,8
mccarbr01,2017,1,LAN,NL,19,23,2,1,0,0,0,0,0,0,3,16,0,0,2,0,0
mccarke01,2017,1,KCA,AL,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcculla02,2017,1,HOU,AL,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mccutan01,2017,1,PIT,NL,156,570,94,159,30,2,28,88,11,5,73,116,5,4,0,3,10
mcfartj01,2017,1,ARI,NL,43,5,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
mcgeeja01,2017,1,COL,NL,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcgowdu01,2017,1,MIA,NL,63,6,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0
mcgowke01,2017,1,NYN,NL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcgraky01,2017,1,SDN,NL,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mcguide02,2017,1,CIN,NL,6,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
mchugco01,2017,1,HOU,AL,12,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
mcmahry01,2017,1,COL,NL,17,19,2,3,1,0,0,1,0,0,5,5,0,0,0,0,1
mejiaad01,2017,1,MIN,AL,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mejiaal01,2017,1,SLN,NL,29,46,6,5,0,0,1,3,0,0,2,13,0,0,1,0,2
mejiafr01,2017,1,CLE,AL,11,13,1,2,0,0,0,1,0,0,1,3,1,0,0,0,0
melanma01,2017,1,SFN,NL,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mellake01,2017,1,CIN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
melviti01,2017,1,MIN,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
melviti01,2017,2,SDN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mendeyo01,2017,1,TEX,AL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mengdda01,2017,1,OAK,AL,7,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
mercejo03,2017,1,PIT,NL,145,502,52,128,24,5,14,58,0,4,51,88,13,3,0,2,16
